70:0f:6a:de:c1:40,-68,-68,-68,-68,-68,-67,-67,-67,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67,-67,-67,-67,-66,-66,-66,-66,-66,-66,-66,-66
70:0f:6a:c8:29:40,-74,-74,-74,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74
70:0f:6a:de:ba:60,-77,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76
10:bd:18:c6:b7:a0,-84,-85,-85,-85,-85,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-85
