18:90:d8:dc:2b:2e,-69,-66,-65,-65,-64,-64,-64,-64,-63,-63,-64,-64,-63,-64,-64,-64,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-64,-64,-64
34:8a:ae:6b:5e:6e,-58,-58,-58,-58,-57,-57,-57,-57,-57,-56,-56,-56,-56,-56,-56,-56,-56,-56
18:d6:c7:4d:3b:ec,-60,-60,-61,-61,-61,-61,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62
c4:09:38:6d:3b:09,-35,-36,-36,-37,-37,-37,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-39,-39,-38,-38,-38,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39
f8:ab:05:4f:90:86,-59,-59,-59,-59,-60,-60,-60,-60,-60,-59,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-59
