18:90:d8:dc:2b:2e,-67,-66,-66,-67,-66,-66,-66,-67,-67,-66,-67,-66,-66,-67,-67,-67,-66,-67
34:8a:ae:6b:5e:6e,-59,-59,-59,-59,-59,-59,-58,-59,-59,-59,-59,-58,-59,-60,-59,-59,-59,-59,-59,-59,-60
18:d6:c7:4d:3b:ec,-60,-60,-60,-59,-60,-59,-59,-59,-59,-59,-59,-60,-59,-59,-59,-60,-59,-60,-59,-60,-59,-59,-60
c4:09:38:6d:3b:09,-42,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-39,-38,-38,-38,-38,-38,-38
f8:ab:05:4f:90:86,-74,-65,-67,-70,-66,-66,-66,-65,-67,-64,-66,-64,-64,-64,-64,-64,-66,-68,-65,-65
