18:90:d8:dc:2b:2e,-74,-69,-74,-68,-75,-76,-71,-75,-79,-70,-73,-69,-78,-81,-78,-87,-75,-73,-73,-72,-77,-78,-73
34:8a:ae:6b:5e:6e,-63,-69,-71,-66,-71,-69,-73,-67,-66,-67,-67,-70,-72,-66,-68,-68,-68,-70,-70,-66,-65,-67,-68,-72,-72,-66,-67,-71,-67
18:d6:c7:4d:3b:ec,-63,-66,-64,-66,-64,-68,-66,-66,-65,-64,-65,-66,-65,-63,-64,-66,-65,-65,-65,-64,-64,-66,-67,-66,-65,-66,-66,-64,-64,-63,-66,-65,-64
c4:09:38:6d:3b:09,-29,-31,-32,-33,-32,-31,-31,-36,-32,-33,-37,-35,-34,-35,-35,-31,-33,-34,-31,-31,-31,-30,-35,-31,-35,-34,-30,-38,-33,-33,-29,-33,-31,-28,-33
f8:ab:05:4f:90:86,-56,-58,-57,-57,-58,-57,-58,-59,-58,-57,-57,-57,-57,-57,-57,-57,-57,-58,-57,-59,-57,-57,-58,-57,-57,-58,-58,-58,-57,-58,-57,-57,-57
