18:90:d8:dc:2b:2e,-66,-56,-55,-56,-58,-56,-56,-56,-55,-57,-57,-56,-56,-56,-54,-57,-55,-55,-88,-56,-56,-55,-56,-56,-55,-56,-56,-56,-56,-58,-57,-57,-56
34:8a:ae:6b:5e:6e,-68,-68,-68,-68,-68,-69,-68,-68,-67,-68,-69
18:d6:c7:4d:3b:ec,-62,-49,-51,-49,-50,-50,-50,-50,-50,-49,-50,-50,-50,-51,-49,-50,-50,-51,-50,-50,-50,-50,-49,-50,-50,-50,-82,-50,-51,-49,-50,-50,-49,-49,-50
c4:09:38:6d:3b:09,-59,-54,-53,-50,-54,-52,-52,-54,-53,-57,-51,-54,-52,-52,-52,-54,-56,-52,-53,-52,-51,-52,-52,-52,-52,-51,-53,-55,-53,-53,-52,-53,-51,-55,-51
