18:90:d8:dc:2b:2e,-61,-61,-62,-62,-61,-62,-62,-62,-59,-60,-62,-61,-61,-62,-62,-62,-62,-62,-62,-60,-62,-62
34:8a:ae:6b:5e:6e,-65,-64,-64,-64,-64,-64,-64,-65
18:d6:c7:4d:3b:ec,-51,-49,-49,-49,-49,-49,-48,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-50,-49,-49,-49,-49,-49
c4:09:38:6d:3b:09,-56,-54,-55,-56,-58,-55,-55,-54,-56,-55,-58,-58,-58,-58,-54,-55,-55,-54,-55,-54,-54,-57,-56
C2:3B:C4:50:F8:6B,-88,-88,-88,-88,-89,-87,-88,-88,-88,-88,-87
DF:5A:33:2A:96:47,-76,-70,-70,-69,-82,-71,-71,-72,-75,-72,-71,-70,-70,-70,-73,-70,-74,-72,-71,-81,-82,-70,-69
DB:4F:6E:19:A2:52,-74,-77,-81,-79,-79,-80,-80,-80,-80,-81,-81,-79,-79,-79,-81,-80,-80,-81,-80,-77,-81,-76
