f0:82:61:46:9e:a9,-83,-86,-84,-86,-85
e8:2c:6d:0d:ee:a2,-90
3c:7a:8a:fd:23:d8,-87,-90,-88,-86
54:64:d9:f7:ac:50,-83,-86,-89,-86,-80,-85,-86,-86,-83,-83,-85
70:8b:cd:c8:b1:30,-72,-72,-71,-72,-71,-73,-74,-72,-72
00:23:6a:75:42:66,-79,-85,-86,-84,-84,-84,-84,-82,-85,-83,-85,-83,-87,-84,-86,-85,-85,-85,-87,-83,-85,-83,-85,-85,-84,-83,-83,-86,-84,-85,-86,-86,-85,-86
f0:82:61:3e:42:a2,-87
88:ad:43:cf:e7:38,-81,-75,-76,-74,-74,-74,-74,-74,-74,-72,-76,-75,-75,-75,-73,-74,-73,-74,-74,-75
40:f2:01:fb:d7:bf,-87,-90
98:13:33:4a:7f:f8,-85,-89
18:90:d8:dc:2b:2d,-88,-86,-86,-86,-85,-84,-84,-87,-85,-88,-84,-87,-86,-87,-83,-86,-85,-86,-85,-86,-86,-84,-84,-85,-86,-85,-86,-88,-87,-87,-87,-86,-87,-87,-89
18:90:d8:dc:2b:2f,-87,-90,-90,-89,-91,-90,-90,-91,-90,-92,-92,-92,-92,-92,-90,-82,-92,-90,-90,-90,-87,-92,-92,-89,-89,-90,-90,-91,-91,-89,-90,-90,-90,-89,-84
50:c7:bf:a2:64:6f,-83,-85,-81,-83,-86,-84,-85,-83
18:90:d8:dc:2b:2e,-63,-65,-69,-60,-64,-68,-63,-64,-64,-64,-64,-65,-65,-65,-65,-63,-67,-67,-65,-60,-61,-66,-63,-63,-64,-63,-63,-63,-62,-64
f8:ab:05:4f:90:86,-69,-59,-64,-61,-65,-61,-64,-59,-60,-64,-63,-65,-64
f8:ab:05:4f:90:87,-92,-91,-91,-90,-92,-91,-93,-92,-92,-92,-92,-92,-92,-92,-90,-91
42:65:a3:ac:56:a6,-87,-86,-88,-88,-88,-88,-90,-89,-85,-90,-91,-89,-88,-89,-89,-89,-89
40:65:a3:a8:a7:4e,-89,-90,-91
90:72:82:f2:08:76,-90,-91
34:8a:ae:6b:5e:6f,-75,-72,-73,-73,-73,-74,-72,-75,-75,-74,-74,-75,-75,-75,-74,-72,-72,-72,-73,-73,-74,-73,-71,-72,-72,-72,-73,-73,-73,-74,-72,-72,-71,-71,-73
62:e3:27:a1:06:14,-88,-89,-87,-89,-85,-85,-87,-88,-88,-87,-85
dc:fe:07:8c:bd:f8,-87,-86,-85,-87,-87,-85
b8:ee:0e:ba:fc:a2,-84,-88,-82,-85,-84
34:8a:ae:6b:5e:6e,-58,-62,-59,-56,-56,-57,-56,-56,-57,-55,-60,-58,-59,-60,-60,-63,-57,-59,-60,-62,-61,-55,-59,-58
88:a6:c6:7b:56:96,-89,-88,-87,-87,-89,-84
58:d5:6e:a9:68:33,-84
18:60:24:d8:98:0a,-87,-91,-81,-86,-86
06:90:d8:dc:2b:2d,-88,-87,-86,-86,-85,-84,-86,-86,-86,-87,-84,-87,-86,-86,-83,-84,-86,-86,-86,-85,-86,-85,-86,-85,-86,-86,-86,-85,-87,-88,-87,-87,-87,-87,-87
5a:d7:75:f8:18:ed,-91,-89,-90
34:64:a9:87:16:87,-90,-90,-89
00:cb:51:99:54:0a,-81,-81
18:d6:c7:4d:3b:ee,-63,-62,-62,-62,-62,-62,-62,-61,-62,-61,-60,-63,-62,-61,-62,-61,-63,-62,-62,-62,-63,-60,-61,-62,-62,-62,-61,-63,-62,-63,-62,-62,-62,-62,-61
84:a0:6e:f3:14:2f,-93
18:d6:c7:4d:3b:ec,-55,-54,-51,-52,-53,-53,-53,-54,-51,-50,-54,-53,-53,-52,-50,-53,-52,-54,-51,-51,-51,-52,-50,-52,-52,-50,-51,-50,-50,-50,-51
88:a6:c6:7b:0b:5e,-88,-91,-90,-90,-89,-90
ac:f1:df:c8:c1:aa,-89,-89,-91,-89,-89,-85,-88,-88,-86,-88,-88,-89,-89
18:a6:f7:bc:ed:39,-77,-81,-79,-79,-79,-79,-77,-77,-77,-80,-80,-76,-77,-78,-77,-81,-80,-81,-81,-81,-92,-79,-78,-80,-80,-79,-80,-78,-80
c4:09:38:6d:3b:09,-46,-58,-49,-54,-51,-53,-52,-53,-54,-54,-55,-54,-52,-52,-56,-54,-53,-58,-52,-53,-53,-52,-54,-54,-56,-55,-54,-55,-55,-55,-55,-53,-55,-54,-53
40:65:a3:ac:56:a6,-89,-87,-91,-90,-88,-92,-89,-89,-88,-87,-87,-91,-88,-89,-89,-90,-90,-89,-87,-91
86:a0:6e:f3:16:28,-91,-92
ec:ad:e0:d4:e8:f8,-82,-82,-84,-84,-84,-85,-83,-84,-83,-82
9c:c8:fc:2b:42:b2,-87,-84,-84,-85,-84,-89,-86,-84
2c:79:d7:09:6c:f6,-89
44:e9:dd:4f:50:ea,-86,-85
