98:da:c4:52:b7:d6,-94
24:f5:a2:eb:f3:25,-89,-90,-90,-89,-88,-91,-89
f0:82:61:46:9e:a9,-81,-78,-81
3c:7a:8a:fd:23:d8,-75,-78,-83,-77,-80,-80,-82,-81,-81,-80,-82,-82,-82,-80,-80,-76
54:64:d9:f7:ac:50,-77,-77,-80,-77
70:8b:cd:c8:b1:30,-84
00:23:6a:75:42:66,-90,-87,-87,-86,-90,-86,-88,-90,-88
88:ad:43:cf:e7:38,-84,-83,-87,-85,-86,-86,-87,-85,-86,-86,-86,-87,-85,-85,-84,-83
40:f2:01:fb:d7:bf,-88,-85,-85,-87
24:a2:e1:f0:ee:2e,-90
98:13:33:4a:7f:f8,-90,-86,-86,-83,-88,-85,-83,-82,-86,-86,-87,-87,-86
60:e3:27:a1:06:17,-83,-85,-85,-86,-85,-86,-85,-84,-85,-86,-85,-84,-82
18:90:d8:dc:2b:2d,-80,-77,-75,-74,-75,-75,-76,-75,-75,-74,-75,-74,-75,-74,-74,-74,-74,-74,-75,-74,-74,-76,-74,-75,-74,-75,-74,-74,-75,-75,-74,-75,-74,-75,-74
00:22:6b:64:73:2a,-91,-90,-89,-89,-91,-89,-88,-91
18:90:d8:dc:2b:2f,-77,-73,-79,-79,-78,-76,-78,-78,-78,-78,-78,-78,-79,-78,-78,-78,-78,-80,-88,-86,-86,-78,-78,-78,-78,-78,-78,-78,-78,-78,-79,-78,-78,-78,-78
50:c7:bf:a2:64:6f,-80,-79,-80,-79,-80,-80,-81
18:90:d8:dc:2b:2e,-61,-55,-62,-62,-62,-62,-63,-63,-62,-63,-62,-61,-62,-62,-62,-62,-61,-62,-61,-62,-62,-62,-62,-62,-61,-63,-62,-61,-62,-62,-61,-62,-61
64:66:24:f2:ae:36,-89,-90,-88
fa:8f:ca:67:f3:1c,-90
54:64:d9:37:b7:27,-91,-88,-89
f8:ab:05:4f:90:86,-76,-77,-76,-75,-74,-72,-71,-73,-73,-75
90:72:82:f2:08:76,-92,-91,-89,-90
5c:8f:e0:5a:a6:77,-88,-89
34:8a:ae:6b:5e:6f,-83,-77,-77,-78,-78,-77,-77,-77,-77,-77,-77,-77,-77,-78,-77,-77,-77,-77,-77,-77,-77,-76,-77,-78,-77,-78,-77,-77,-77,-78,-77,-77,-76,-77
b8:ee:0e:ba:fc:a2,-82,-84,-81,-83,-82,-81,-83,-81,-83,-82,-81,-81,-83,-80,-84,-83,-81,-82,-84,-82,-84,-86,-84,-83
88:a6:c6:7b:56:96,-91,-85,-87,-87,-88,-89,-85,-88,-91,-89,-85,-87,-89,-84,-85,-86,-87
34:8a:ae:6b:5e:6e,-65,-64,-65,-62,-63,-65,-65,-63,-62,-67,-61,-62,-62
58:d5:6e:a9:68:33,-85,-80,-82,-83,-82,-82,-81,-81,-79,-79,-80,-81,-80,-79,-80,-81,-81,-81,-81,-79,-81,-82,-81,-80,-81,-82,-80
86:a0:6e:f3:15:2f,-91
18:60:24:d8:98:0a,-84,-85,-85
5c:8f:e0:30:0a:37,-86
06:90:d8:dc:2b:2d,-80,-77,-74,-74,-75,-74,-76,-75,-75,-75,-74,-74,-74,-74,-74,-75,-74,-75,-74,-74,-74,-74,-75,-74,-74,-75,-75,-75,-75,-75,-74,-75,-74,-74,-75
34:64:a9:87:16:87,-87,-85,-86
00:cb:51:99:54:0a,-76,-78
18:d6:c7:4d:3b:ee,-65,-58,-62,-62,-62,-62,-61,-62,-62,-61,-63,-62,-62,-63,-62,-62,-62,-62,-62,-62,-63,-63,-62,-63,-62,-62,-62,-62,-63,-62,-62,-63,-62,-62,-62
18:d6:c7:4d:3b:ec,-51,-45,-48,-49,-50,-52,-50,-50,-50,-48,-50,-49,-49,-49,-49,-49,-49,-48,-49,-50,-49,-50,-49,-48,-49,-48,-49,-49,-50,-48,-50,-49,-49,-49,-49
ac:f1:df:c8:c1:aa,-87
f4:f2:6d:fc:76:6a,-89
18:a6:f7:bc:ed:39,-84,-84,-86,-84
c4:09:38:6d:3b:09,-56,-60,-58,-58,-59,-57,-56,-54,-53,-52,-54,-55,-55,-54,-56,-53,-54,-53,-53,-53,-53,-54,-54,-53,-53,-54,-53,-53,-53,-54,-55,-54,-52,-53,-54
ec:ad:e0:d4:e8:f8,-86,-86,-85,-88,-88,-88,-84,-90,-87,-87,-86,-87,-87,-87,-86,-87,-87,-85,-87,-86,-87,-86,-87,-87,-88,-88,-89,-89
c4:04:15:17:e1:90,-89
f8:ab:05:55:49:b6,-87,-87,-89,-87,-88,-89,-88,-87,-87,-89,-88,-87,-87,-87,-90,-89,-88,-88,-88
44:e9:dd:4f:50:ea,-93,-83,-76,-76,-77,-78,-79,-77,-78,-77,-77,-79,-77,-78,-81,-82,-77,-81,-82,-77,-77,-77,-77,-89,-82,-77
