7a:08:4f:42:96:f9,-91
f0:82:61:46:9e:a9,-88,-80,-78,-80,-80,-78,-92,-78,-81,-79,-81,-78,-76,-77,-78,-77,-80,-77,-79,-88,-78,-79
64:66:24:f5:87:f6,-90
98:da:c4:52:b7:d6,-91
3c:7a:8a:fd:23:d8,-86,-87,-87,-82,-87
54:64:d9:f7:ac:50,-77,-79,-77,-75,-79,-79,-78,-79,-76,-77
70:8b:cd:c8:b1:30,-82,-86,-84,-80,-86,-85,-85,-86,-84,-86,-84,-84,-86
92:72:82:f2:08:76,-96
f0:82:61:3e:42:a2,-90
88:ad:43:cf:e7:38,-89,-85,-86,-88,-89,-85,-86,-86,-84,-86,-86,-86,-85,-87,-86,-87,-85,-85,-85,-85,-85,-84,-84,-84,-82,-83,-84,-84
40:f2:01:fb:d7:bf,-89,-89,-88
98:13:33:4a:7f:f8,-90
60:e3:27:a1:06:17,-93
18:90:d8:dc:2b:2d,-73,-74,-73,-73,-72,-73,-73,-72,-72,-72,-72,-73,-72,-73,-72,-73,-73,-72,-72,-72,-72,-73,-72,-73,-72,-72,-72,-72,-72,-72,-71,-73,-72,-72,-72
18:90:d8:dc:2b:2f,-85,-69,-68,-68,-69,-69,-69,-68,-68,-68,-69,-68,-68,-69,-69,-68,-68,-68,-68,-69,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-69,-69,-69,-68,-69
50:c7:bf:a2:64:6f,-87,-85,-86,-84
18:90:d8:dc:2b:2e,-59,-59,-57,-57,-57,-58,-57,-58,-57,-57,-58,-56,-57,-56,-58,-60,-59,-58,-57,-58,-56,-58,-57,-57,-60,-57,-60,-60,-56,-60,-57,-61,-57,-57,-57
f8:ab:05:4f:90:86,-84,-84,-84,-90,-85,-83,-86,-85,-83,-83,-85,-85,-81,-83,-84,-80,-82,-84
90:72:82:f2:08:76,-93,-88,-87,-92,-88,-89,-90,-87,-91,-88,-88,-88,-91,-89,-91,-90,-88,-89,-88,-88,-89
5c:8f:e0:5a:a6:77,-89,-91
62:e3:27:a1:06:14,-90,-85,-84,-83,-84,-85,-85,-84,-92,-91,-85,-85,-84,-85,-84,-85,-85,-84,-86,-86
34:8a:ae:6b:5e:6f,-83,-82,-82,-83,-84,-82,-82,-83,-83,-82,-82,-82,-82,-82,-83,-82,-83,-82,-84,-81,-82,-83,-81,-84,-82,-83,-82,-83,-82,-84,-82,-82,-83,-82
dc:fe:07:8c:bd:f8,-91,-90,-90,-91
b8:ee:0e:ba:fc:a2,-86,-90,-80,-78,-77,-79
58:90:43:b7:3f:66,-87,-89,-90,-90,-87,-88
34:8a:ae:6b:5e:6e,-70,-68,-66,-68,-69,-69,-67,-69,-70,-70,-70,-69,-70,-69,-70,-69,-70,-68,-67,-67,-67
88:a6:c6:7b:56:96,-88,-86,-87
40:c7:29:f6:4f:86,-93
58:d5:6e:a9:68:33,-85,-83,-79,-82,-81,-84,-83,-80,-78,-78,-80,-81
18:60:24:d8:98:0a,-88,-90,-88,-85,-86,-89,-89
06:90:d8:dc:2b:2d,-73,-73,-73,-72,-72,-73,-72,-73,-73,-72,-72,-73,-72,-72,-72,-72,-72,-73,-73,-72,-72,-72,-73,-72,-72,-72,-72,-72,-72,-72,-71,-72,-73,-73,-72
34:64:a9:87:16:87,-92,-90,-91,-89,-90,-88
00:cb:51:99:54:0a,-82,-77,-82,-82,-83,-79,-82,-80,-81,-82,-81,-84,-81,-81,-81,-83,-82,-81,-70,-84,-80
18:d6:c7:4d:3b:ee,-56,-54,-55,-53,-53,-54,-54,-53,-53,-54,-54,-54,-53,-54,-53,-53,-53,-53,-53,-55,-55,-55,-55,-54,-54,-52,-54,-54,-54,-54,-54,-55,-55,-54,-53
18:d6:c7:4d:3b:ec,-50,-47,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-44,-44,-45,-45,-45,-45,-45,-45,-45,-45,-46,-45,-45,-46,-45,-46,-43,-44,-47,-45,-45,-46
88:a6:c6:7b:0b:5e,-90,-90,-88,-88,-89,-88,-89,-88,-90,-88,-87,-89,-89,-87,-88,-88,-86,-89,-87,-86,-87,-88,-88,-89,-89,-89,-87,-87,-89,-89,-89
18:a6:f7:bc:ed:39,-88,-88,-87,-87,-88,-86,-86,-87,-87,-85,-87,-87,-87,-86
c4:09:38:6d:3b:09,-65,-61,-59,-58,-59,-59,-62,-60,-60,-62,-61,-62,-59,-60,-58,-58,-60,-60,-58,-58,-61,-58,-59,-61,-62,-59,-59,-59,-58,-61,-60,-59,-61,-60,-60
f2:82:61:3e:42:a2,-88,-90
ec:ad:e0:d4:e8:f8,-90,-91,-89,-88,-90,-89,-91,-89,-91,-90,-92,-88,-88,-91
5e:ba:ba:75:e1:fb,-88,-89,-88,-91,-89
f8:ab:05:55:49:b6,-83
44:e9:dd:4f:50:ea,-85,-86,-86,-85,-85,-84,-86
f0:82:61:40:15:06,-91
