24:f5:a2:eb:f3:25,-84,-85,-83,-82
e8:2c:6d:0d:ee:a2,-85,-90,-91
70:8b:cd:c8:b1:30,-64,-64,-65,-65
60:e3:27:a1:06:17,-87,-86,-87,-87,-84,-87
18:90:d8:dc:2b:2d,-89,-86,-84,-86,-85,-85,-85,-85,-85,-84,-85,-85,-85,-85,-84,-85,-85,-84,-86,-86,-87,-85,-85,-85,-86,-86,-85,-85,-85,-84,-85,-85,-85,-86,-86
18:90:d8:dc:2b:2e,-68,-60,-61,-60,-61,-60,-62,-60,-62,-62,-61,-60,-62,-62,-62,-62,-62,-61,-63,-61,-60,-60,-60,-62,-61,-64,-60,-63,-64,-63,-64,-61,-61,-61,-63
b8:ee:0e:e4:c3:96,-89
34:8a:ae:6b:5e:6f,-84,-83,-83,-83,-83,-82,-83,-82,-82,-82,-83,-83,-82,-83,-83,-83,-83,-83,-82,-82,-82,-83,-83,-82,-83,-83,-82,-83,-82,-83,-83,-83,-83,-83,-83
dc:fe:07:8c:bd:f8,-80,-78,-81,-79,-83
b8:ee:0e:ba:fc:a2,-85,-82,-80,-81,-78,-81,-82,-78,-85,-82,-79,-83,-79
34:8a:ae:6b:5e:6e,-58,-66,-57,-59,-58,-65,-57,-42,-60,-60,-57,-58,-59,-64,-58,-59,-65,-66,-56,-65,-58
18:60:24:d8:98:0a,-78,-79,-78,-83,-84,-85,-80,-84,-80,-78,-83,-85,-85,-80,-83,-84,-81,-81,-87,-82,-80,-79,-80,-83
06:90:d8:dc:2b:2d,-89,-85,-86,-84,-85,-84,-85,-85,-85,-84,-85,-84,-84,-84,-84,-83,-85,-84,-84,-85,-86,-85,-86,-86,-86,-85,-85,-86,-85,-84,-85,-86,-86,-86,-86
5a:d7:75:f8:18:ed,-87,-85
6c:ca:08:bf:62:95,-91,-92,-93
00:cb:51:99:54:0a,-87,-85,-81,-84
88:ad:43:cf:f2:18,-86,-90
18:d6:c7:4d:3b:ee,-69,-71,-73,-73,-74,-73,-73,-74,-73,-73,-73,-73,-73,-73,-73,-72,-73,-73,-73,-73,-73,-73,-73,-73,-74,-73,-73,-73,-73,-73,-73,-73,-73,-74,-71
18:d6:c7:4d:3b:ec,-55,-57,-57,-57,-57,-57,-57,-57,-58,-57,-58,-58,-57,-57,-58,-57,-56,-56,-57,-56,-57,-56,-59,-58,-57,-57,-56,-58,-57,-56,-58,-57,-58,-58,-58
84:a0:6e:f3:14:2e,-88,-88
c4:09:38:6d:3b:09,-41,-40,-41,-41,-40,-40,-42,-42,-41,-39,-41,-40,-41,-42,-41,-41,-41,-42,-41,-41,-42,-40,-39,-41,-40,-42,-40,-43,-41,-40,-42,-39,-41,-42,-42
9c:c8:fc:2b:42:b2,-83,-83,-73,-87,-72,-84,-73,-72,-82,-74,-75,-74,-70,-82
f8:ab:05:55:49:b6,-86,-74,-75,-75,-73,-73,-73,-74,-73,-74,-74,-77,-77
44:e9:dd:4f:50:ea,-79,-81,-78,-82,-85,-80,-78,-79,-82,-79,-75,-76,-75,-79,-82,-82,-79,-77
3a:b1:db:82:9d:c1,-83,-82,-82,-82,-81,-89,-81,-82,-82
a0:63:91:b7:09:90,-90,-90,-87,-89
f0:82:61:46:9e:a9,-82,-82,-84,-86,-83,-85,-81,-82,-83
da:13:99:7b:d9:5e,-78,-78,-75,-77,-78,-76
54:64:d9:f7:ac:50,-79,-71,-74,-71,-72,-76,-73,-72,-73,-71,-72,-76,-78,-72,-72,-73,-70,-78,-65
00:23:6a:75:42:66,-89,-83,-84,-83,-87,-82,-83,-81,-82,-82,-83,-83,-79,-88,-82,-81,-83,-81
12:08:b1:54:f0:9c,-85,-86,-83,-87
88:ad:43:cf:e7:38,-65,-63,-64,-64,-62,-63,-63,-64,-63,-63,-62,-63,-65,-64,-65,-63,-64,-63,-63,-64,-65,-62,-62,-63,-63,-64,-64,-63
50:c7:bf:a2:64:6f,-79,-80,-81,-80,-80,-77,-80,-79,-76,-80
ec:08:6b:b6:59:0a,-90,-87,-88
44:e9:dd:3e:bb:d6,-87,-87
f8:ab:05:4f:90:86,-73,-64,-64,-64,-65,-64,-67,-64,-64,-66,-65,-66,-62,-67,-68,-64,-65,-66,-84,-67,-67,-67,-65,-65,-63,-67,-67,-65,-67,-66,-64,-64,-66,-65,-65
90:72:82:f2:08:76,-89,-87,-80,-87,-83,-87,-89
5c:8f:e0:5a:a6:77,-88
40:65:a3:a8:a7:4e,-89
62:e3:27:a1:06:14,-85,-86,-84
58:90:43:b7:3f:66,-89
5c:8f:e0:32:5e:14,-88
58:d5:6e:a9:68:33,-80,-84,-82,-79,-81,-79,-83,-81
86:a0:6e:f3:15:2f,-86,-86,-90
90:72:82:f1:c5:fe,-90,-89,-85
ac:f1:df:c8:c1:aa,-93,-82,-83,-84,-84,-84,-83
18:a6:f7:bc:ed:39,-84,-76,-73,-75,-75,-75,-74,-74
40:65:a3:ac:56:a6,-85,-84
ec:ad:e0:d4:e8:f8,-77,-75,-77,-76,-77,-74,-74,-78,-78,-80,-80,-75,-78,-78,-73,-76,-77,-76,-76,-72,-76,-78,-78,-76,-77,-76,-75,-77,-76,-77
42:65:a3:a8:a7:4e,-89,-88,-87
