18:d6:c7:4d:3b:ec,-65,-63,-62,-63,-62,-62,-63,-62,-62,-62,-62,-63,-63,-63,-63,-64,-62,-62
c4:09:38:6d:3b:09,-63,-64,-64,-64,-64,-63,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-65,-64,-64,-64,-64,-64
f8:ab:05:4f:90:86,-63,-61,-62,-61,-61,-61,-61,-61,-61,-61,-61,-63,-61,-62,-61,-63,-61,-61,-61,-61
CF:27:BE:19:4E:31,-85,-81,-83,-79,-82,-83,-80,-82,-84,-81,-79,-79,-84,-83,-83,-79,-83,-82,-83,-84
CA:D9:80:DE:59:61,-62,-72,-70,-72,-72,-73,-66,-72,-72,-72,-67,-71,-72,-67,-72,-72,-72,-72,-72,-67,-73,-72
CE:F1:1F:F8:97:20,-94,-83,-85,-85,-83,-85,-85,-85,-84,-85,-85,-85,-83,-85,-86,-83,-86,-86,-83,-84,-85,-85,-89
FC:B0:61:E1:7F:E2,-83,-79,-79,-78,-79,-78,-79,-77,-79,-79,-79,-79,-79,-79,-80,-80,-77,-79,-79,-80
