e8:2c:6d:0d:ee:a2,-89,-89,-90
64:66:24:f5:87:f6,-85,-85,-86,-85
10:86:8c:8a:06:7c,-89
3c:7a:8a:fd:23:d8,-82
da:31:34:c8:a2:df,-87,-86,-86,-87,-86
70:8b:cd:c8:b1:30,-77,-79,-77,-77,-78,-76
44:e9:dd:45:4f:4a,-88,-89
2a:f5:a2:eb:f3:25,-85,-85,-76,-84,-84,-84,-85,-79
40:f2:01:fb:d7:bf,-86
98:13:33:4a:7f:f8,-88,-85,-85,-83,-81,-83,-82,-83,-87,-83,-82,-83,-85,-87,-82,-81,-85,-83,-83,-88,-87,-86,-70,-83,-87,-81,-82
60:e3:27:a1:06:17,-90,-86,-86,-85,-84,-86,-85,-86,-83,-84,-83,-82,-84,-78,-82,-89,-81,-81
18:90:d8:dc:2b:2d,-75,-71,-71,-71,-70,-71,-72,-71,-71,-69,-72,-71,-71,-70,-70,-71,-70,-71,-72,-71,-71,-71,-71,-71,-71,-70,-71,-69,-71,-71,-72,-71,-72,-72,-71
18:90:d8:dc:2b:2f,-81,-69,-64,-67,-67,-67,-68,-67,-68,-67,-67,-67,-68,-67,-67,-67,-66,-67,-67,-67,-67,-67,-67,-67,-67,-67,-68,-68,-67,-66,-67,-67,-67,-67,-67
18:90:d8:dc:2b:2e,-64,-59,-42,-43,-43,-42,-44,-46,-44,-46,-43,-45,-46,-45,-46,-44,-44,-44,-46,-46,-44,-43,-88,-42,-43,-42,-44,-42,-42,-45,-44,-43,-44,-43,-43
34:8a:ae:6a:6e:a6,-90,-91
38:70:0c:bb:e0:89,-89,-89
c0:7c:d1:0b:64:88,-90,-91,-89,-90,-89,-91,-90,-92,-88
34:8a:ae:6b:5e:6f,-87,-85,-75,-74,-73,-74,-73,-74,-74,-73,-73,-74,-74,-74,-74,-74,-73,-74,-73,-74,-73,-74,-74,-74,-74,-74,-73,-73,-74,-74,-74,-73,-74,-73,-74
dc:fe:07:8c:bd:f8,-86,-87,-88,-87,-85,-85,-85
b8:ee:0e:ba:fc:a2,-86,-72,-71,-74,-72,-71,-72,-72,-72,-70,-69,-69,-70
94:8f:cf:81:3e:0d,-92
34:8a:ae:6b:5e:6e,-74,-69,-61,-62,-62,-61,-62,-60,-59,-60,-59,-59,-59,-61,-60,-62,-60,-59,-61,-63,-60,-61,-63,-62,-61,-59,-62,-59,-61,-62
88:a6:c6:7b:56:96,-88,-86,-84,-88,-88,-85,-84,-86,-85,-85,-85,-89,-85,-84
24:f5:a2:58:ba:17,-88
18:60:24:d8:98:0a,-87,-85,-81,-78,-78,-79,-80,-79,-77,-81,-81,-81,-79,-79,-80,-78,-81,-79,-78,-79,-77
06:90:d8:dc:2b:2d,-75,-70,-71,-71,-71,-71,-70,-72,-71,-70,-71,-72,-71,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-69,-71,-71,-72,-71,-72,-71,-71
34:64:a9:87:16:87,-96,-88,-86,-89,-87,-84,-88,-90,-85,-86,-85,-86,-86,-89,-89,-88,-89,-85
5a:d7:75:f8:18:ed,-90,-88,-89,-89,-87,-87
00:cb:51:99:54:0a,-77,-76,-77,-79,-77,-78,-79,-76,-77,-78,-77,-75,-75,-75,-77,-78,-74,-78,-76,-77,-77,-76,-74,-78,-78,-78
18:d6:c7:4d:3b:ee,-63,-52,-48,-53,-54,-54,-53,-53,-53,-53,-53,-53,-53,-53,-53,-54,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-52,-52,-53,-53,-53,-53,-54,-53,-53
18:d6:c7:4d:3b:ec,-51,-44,-41,-41,-42,-41,-41,-41,-41,-40,-40,-41,-40,-40,-41,-40,-40,-41,-40,-41,-40,-41,-41,-41,-41,-40,-41,-40,-41,-41,-40,-39,-40,-40,-41
c4:09:38:6d:3b:09,-63,-58,-59,-55,-57,-59,-55,-54,-55,-58,-59,-60,-55,-52,-59,-56,-57,-57,-56,-53,-57,-55,-57,-53,-56,-56,-53,-57,-57,-54,-57,-54,-54,-52,-58
7a:08:4f:42:96:71,-89
9c:c8:fc:2b:42:b2,-74,-73,-81,-80
c4:04:15:17:e1:90,-90
