18:90:d8:dc:2b:2e,-67,-66,-66,-67,-66,-67,-67,-67,-67,-66,-67,-66,-66,-67,-67,-67,-67,-67
34:8a:ae:6b:5e:6e,-59,-59,-59,-59,-60,-60,-58,-59,-59,-60,-59,-59,-59,-59,-59,-59,-59,-60,-58,-59,-59
18:d6:c7:4d:3b:ec,-60,-59,-59,-59,-59,-59,-59,-59,-60,-60,-59,-59,-59,-60,-59,-60,-59,-60,-59,-59,-59,-60,-60
c4:09:38:6d:3b:09,-42,-38,-38,-38,-38,-38,-38,-38,-38,-37,-38,-38,-38,-38,-38,-39,-37,-38,-38,-38,-38,-38,-38
C2:3B:C4:50:F8:6B,-73,-77,-77,-77,-77,-75,-77,-78,-78,-77,-77,-78,-77,-77,-76,-75,-77,-77
DF:5A:33:2A:96:47,-64,-69,-69,-69,-69,-69,-68,-64,-71,-68,-68,-71,-68,-68,-71,-69,-70,-67,-69,-68,-69,-70,-68
DB:4F:6E:19:A2:52,-85,-86,-86,-90,-88,-86,-90,-91,-88,-91,-89,-86,-89,-89,-87,-88,-88,-85,-86
