18:90:d8:dc:2b:2e,-53,-59,-60,-59,-60,-60,-59,-61,-60,-59,-60,-60,-60,-60,-60,-60,-60,-60,-61,-59,-61,-60,-60
34:8a:ae:6b:5e:6e,-62,-64,-64,-63,-65,-65,-64
18:d6:c7:4d:3b:ec,-49,-51,-51,-51,-51,-51,-51,-51,-52,-51,-51,-51,-51,-51,-52,-50,-51,-51,-51,-51,-51,-51,-51
c4:09:38:6d:3b:09,-67,-65,-62,-63,-63,-63,-63,-63,-62,-63,-64,-64,-62,-62,-65,-63,-62,-62,-62,-63,-63,-63,-63
C2:3B:C4:50:F8:6B,-88,-89,-88,-87,-86,-87,-88,-87,-88,-86,-88,-88,-88,-89,-86
DF:5A:33:2A:96:47,-78,-78,-77,-78,-80,-78,-79,-78,-79,-79,-79,-78,-77,-77,-78,-77,-77,-79,-77,-77,-78,-80,-78
DB:4F:6E:19:A2:52,-65,-72,-75,-75,-76,-75,-76,-74,-75,-76,-75,-75,-70,-69,-74,-70,-69,-76,-75,-74,-75,-75,-75
