64:66:24:f5:87:f6,-83,-82,-92
24:f5:a2:eb:f3:25,-89,-88,-85,-89,-85,-84,-85
e8:2c:6d:0d:ee:a2,-87
a0:8c:fd:5e:48:c3,-82,-74,-83,-81,-78,-81,-77,-83,-81,-82,-78
40:f2:01:fb:d7:bf,-88
98:13:33:4a:7f:f8,-77,-79,-80,-79,-80,-79,-80,-80,-80,-79,-80,-77,-90,-77,-81,-78,-80,-81,-79,-81,-79,-80
60:e3:27:a1:06:17,-91
18:90:d8:dc:2b:2d,-90,-89,-87,-87,-89,-88,-89,-87,-88,-88,-88,-87,-87,-89,-87,-89,-88,-88,-89,-87,-89,-89,-89,-88,-87,-88,-89,-88,-89,-89,-90,-87,-87,-90
ba:b9:8a:4d:24:ce,-86,-90
c0:7c:d1:0b:3a:78,-78,-78,-79
de:54:d7:1c:8b:9b,-92,-91
18:90:d8:dc:2b:2f,-86,-88,-86,-87,-86,-86,-87,-85,-86,-86,-86,-86,-87,-86,-86,-86,-86,-87,-86,-86,-86,-86,-87,-87,-87,-87,-88,-86,-87,-86,-87,-86,-87
18:90:d8:dc:2b:2e,-73,-68,-67,-65,-66,-66,-66,-66,-64,-66,-66,-67,-66,-65,-65,-66,-68,-66,-64,-66,-67,-67,-67,-66,-67,-66,-66,-66,-66,-66,-66,-67,-67,-68
f0:82:61:46:9e:aa,-92,-85,-86,-86,-84,-87,-85,-87,-86,-86,-85,-86,-87,-86,-86,-86,-86,-87,-85,-87,-87,-86,-86,-87,-84,-84,-86,-85,-87
54:64:d9:eb:7b:8f,-86
f8:1d:0f:cf:e5:78,-85
d4:5d:df:b0:3f:d8,-87,-89,-89
42:65:a3:ac:56:a6,-85,-87,-84,-90
b8:ee:0e:ba:fc:a3,-78,-76,-77,-75,-76,-76,-75,-75,-75,-76,-76,-75,-75,-75,-75,-75,-75,-74,-75,-75,-75,-75,-75,-77,-76,-75,-76,-76,-76,-76,-75,-75,-75,-75,-75
dc:fe:07:8c:bd:f8,-89,-87,-86
34:8a:ae:6b:5e:6f,-88,-90,-90,-90
b8:ee:0e:ba:fc:a2,-69,-67,-68,-65,-61,-65,-64,-64,-67,-66,-68,-65,-65,-69,-68,-63,-67,-65,-67,-64,-65,-63
94:8f:cf:81:3e:0d,-87,-89,-88,-90,-88,-88,-88,-88,-84,-88,-87
34:8a:ae:6b:5e:6e,-73,-72,-66,-71,-72,-70,-71,-70
18:60:24:d8:98:0a,-78,-72,-72,-71,-84,-70,-69,-69,-68,-69,-70,-74,-76,-75,-70,-69,-75,-70,-72,-74,-75,-66,-74
06:90:d8:dc:2b:2d,-90,-87,-87,-87,-87,-88,-88,-87,-89,-88,-86,-88,-89,-88,-90,-87,-88,-90,-89,-87,-88,-88,-88,-86,-89,-89,-88,-88,-88,-88,-89,-88,-88
5a:d7:75:f8:18:ed,-79,-84
78:24:af:7b:15:c8,-89,-91,-90,-88,-90,-90,-89,-91,-90,-91,-88,-89
e6:ab:05:4f:90:85,-83,-83,-84,-83,-81,-81,-81,-81,-81,-80,-82,-81,-81,-81,-81,-81,-81,-81,-81,-83,-82,-83,-81,-81,-82,-82,-82,-82,-82,-82,-83,-82,-82,-82,-81
18:d6:c7:4d:3b:ee,-77,-73,-75,-75,-74,-75,-75,-74,-75,-75,-75,-75,-74,-74,-74,-75,-75,-74,-75,-74,-75,-74,-75,-74,-74,-74,-75,-75,-74,-75,-74,-74,-74,-75,-74
18:d6:c7:4d:3b:ec,-65,-63,-62,-62,-62,-61,-62,-62,-62,-62,-63,-63,-63,-63,-63,-62,-62,-63,-63,-62,-63,-64,-63,-63,-61,-63,-64
5a:d7:75:f8:11:d9,-88,-90,-89,-92
c4:09:38:6d:3b:09,-63,-63,-64,-61,-68,-65,-64,-68,-62,-65,-66,-63,-63,-65,-65,-64,-62,-63,-62,-64,-67,-63,-62,-63,-63,-64,-67,-66,-64,-66,-63,-64,-62,-65,-64
9c:c8:fc:2b:42:b3,-87,-86,-86,-88
9c:c8:fc:2b:42:b2,-64,-65,-62,-62,-65,-63,-66,-64,-65,-65,-64,-64,-63,-64,-64,-62,-62,-65
c4:04:15:17:e1:90,-90,-88,-88,-80
f8:ab:05:55:49:b6,-83,-78,-79,-74,-74
44:e9:dd:4f:50:ea,-82,-79,-81,-78,-73,-82,-81,-81,-81
f0:82:61:46:9e:a9,-69,-67,-63,-65,-66,-68,-67,-66,-67,-66,-68,-68,-68,-67,-64,-65,-66,-68,-67,-69,-69,-66,-68,-68,-65
98:da:c4:52:b7:d6,-89,-89,-87,-89,-90
54:64:d9:f7:ac:50,-82
92:72:82:f2:08:76,-89,-88,-92,-83,-84,-90,-83,-90,-86
00:23:6a:75:42:66,-86,-86,-87,-87,-84,-85,-81,-86
42:c7:29:f6:96:90,-89,-89
88:ad:43:cf:e7:38,-85,-84,-81,-81
9e:da:c4:52:b7:d6,-89
50:c7:bf:a2:64:6f,-87,-83,-84,-73
42:c7:29:f6:96:97,-88
f8:ab:05:4f:90:86,-63,-64,-63,-64,-60,-59,-59,-62,-59,-61,-62,-62,-59,-63,-60,-61,-63,-62,-60,-61,-60,-60,-63,-64,-61,-60,-61,-59,-63,-59
f8:ab:05:4f:90:85,-83,-84,-84,-81,-81,-82,-81,-82,-81,-82,-82,-82,-81,-81,-81,-80,-80,-81,-81,-82,-82,-82,-83,-83,-81,-82,-81,-81,-82,-82,-85,-83,-82,-82,-82
f8:ab:05:4f:90:87,-80,-75,-75,-76,-76,-76,-76,-79,-76,-80,-76,-76,-76,-76,-76,-76,-75,-75,-80,-76,-77,-76,-77,-76,-76,-75,-76,-79,-77,-80,-76,-76,-76
5c:8f:e0:5a:a6:77,-88,-88
90:72:82:f2:08:76,-88
58:d5:6e:a9:68:33,-71,-69,-70,-74,-71,-72,-73,-74,-74,-74,-73,-71,-72,-73,-74,-73,-74,-72,-75,-71,-73,-72,-76,-70,-73,-74,-73
b6:b9:8a:4d:24:ce,-89
58:d5:6e:a9:68:34,-85,-83,-83,-83,-85,-84,-84,-84,-85,-84,-84,-85,-85,-84,-84,-84,-86,-84,-84,-84,-84,-83,-84,-85,-83,-85,-83,-85,-85,-83,-84,-87,-86,-85,-85
18:a6:f7:bc:ed:39,-81,-77,-75,-76,-77,-79,-79,-76,-75,-76,-73,-77,-76
f4:f2:6d:fc:76:6a,-89
40:65:a3:ac:56:a6,-88,-85,-87,-89,-82,-90,-90
ec:ad:e0:d4:e8:f8,-86,-79,-77,-77,-79
42:65:a3:a8:a7:4e,-88
