18:90:d8:dc:2b:2e,-76,-69,-65,-59,-60,-76,-73,-75,-73,-76,-66,-72,-65,-71,-71,-74,-72,-77,-65,-74,-77
34:8a:ae:6b:5e:6e,-67,-73,-70,-73,-74,-69,-72,-68,-70,-70,-68,-72,-68,-72,-69,-65,-71,-69,-69
18:d6:c7:4d:3b:ec,-57,-68,-68,-58,-57,-71,-71,-71,-67,-67,-67,-67,-69,-67,-66,-67,-66,-66,-65,-67,-67,-69,-69,-68,-69,-71,-69,-66,-67,-68
c4:09:38:6d:3b:09,-21,-33,-23,-23,-31,-20,-32,-33,-35,-33,-34,-36,-33,-33,-33,-33,-33,-33,-36,-37,-34,-32,-33,-34,-32,-37,-33,-33,-35,-36,-33,-36,-35,-33,-35
f8:ab:05:4f:90:86,-67,-62,-59,-60,-59,-60,-61,-58,-88,-57,-59,-59,-60,-59,-58,-58,-59,-53,-54,-56,-58,-57,-55,-55,-58,-58,-59,-59,-58,-57
